"SECTOR","STATE","YEAR","TYPE","STATUS","COST"
"Gold","AU-WA",2016,"NEW PROJECT","Committed",65
"Coal","AU-QLD",2017,"NEW PROJECT","Announced",800
"Other Commodities","AU-SA",2016,"EXPANSION","Committed",50
"Other Commodities","AU-VIC",2017,"NEW PROJECT","Announced",500
"Coal","AU-QLD",2015,"NEW PROJECT","Feasibility",300
"Infrastructure","AU-WA",2015,"EXPANSION","Committed",325
"Infrastructure","AU-WA",2015,"EXPANSION","Completed",2050
"Coal","AU-QLD",2017,"NEW PROJECT","Feasibility",795
"Other Commodities","AU-QLD",2017,"NEW PROJECT","Feasibility",138
"Infrastructure","AU-WA",2018,"NEW PROJECT","Feasibility",7000
"Uranium","AU-QLD",2021,"NEW PROJECT","Announced",500
"LNG, Gas, Oil","AU-WA",2016,"NEW PROJECT","Committed",29000
"Infrastructure","AU-QLD",2015,"NEW PROJECT","Completed",2600
"Infrastructure","AU-QLD",2015,"NEW PROJECT","Committed",858
"Uranium","AU-WA",2017,"NEW PROJECT","Feasibility",315
"Iron Ore","AU-WA",2021,"NEW PROJECT","Announced",250
"Nickel","AU-WA",2018,"NEW PROJECT","Feasibility",2500
"LNG, Gas, Oil","AU-WA",2015,"EXPANSION","Committed",370
"Uranium","AU-WA",2021,"NEW PROJECT","Announced",1000
"Iron Ore","AU-WA",2018,"NEW PROJECT","Feasibility",1060
